FID,HD,PH,PL,TN,GP,SSR,TGW,GL,GW,Y
S73,104,93.1,18.04,15.3,169,85.9763313609468,27.29,7.218,3.348,30.25
S74,97,98.2,19.07,13.1,133.3,96.5491372843211,28.49,7.081,3.497,32
S75,105,96.9,18.47,13.2,117.1,97.5234842015372,25.93,7.021,3.292,30.5
S76,107,97.7,17.46,11.4,144.8,82.1823204419889,27.46,8.471,2.648,37.75
S77,99,93.9,17.79,14.7,142.8,96.5686274509804,25.58,7.017,3.475,37
S78,109,124.1,20.07,12.4,127.1,94.1778127458694,22.68,6.732,3.503,29
S79,79,79.5,13.8,8,133.6,96.8562874251497,27.02,6.342,3.65,13.5
S80,88,82,14.17,17.1,116.7,95.458440445587,23.37,6.449,3.311,21.5
S81,89,90.4,14.97,14.5,140.6,99.2176386913229,23.51,6.841,3.234,22.5
S82,101,89.3,15.5,19.8,123.4,98.0551053484603,26.49,6.952,3.423,32.25
S83,107,106.1,18.13,13.2,115,84.2608695652174,25.32,6.804,3.356,32
S84,106,98.3,19.43,21.2,119.7,80.8688387635756,25.92,6.852,3.437,36.5
S85,105,97,19.56,22.4,111.6,97.4910394265233,29.29,6.828,3.453,29.25
S86,104,101,17.9,10.8,126.2,90.2535657686212,28.22,7.522,3.435,29.5
S87,106,104.6,18.7,10.5,132,69.9242424242424,20.92,6.512,3.307,32.25
S88,102,95.7,17.55,11.5,150.9,95.9575878064944,28.94,7.065,3.266,35.5
S89,95,88.5,18.71,29.5,160.2,93.4456928838951,26.74,6.744,3.495,
S90,92,97,18.61,15.7,139.3,95.6927494615937,25.59,6.973,3.47,23
S91,106,99.8,19.39,15.3,110.9,95.4914337240757,26.95,7.031,3.44,37.5
S92,93,91,16.94,21.1,132.9,95.3348382242287,25.65,6.925,3.243,22
S93,97,102.9,19.23,17,78.5,94.9044585987261,26.82,7.097,3.457,31.75
S94,99,109.9,18.24,14,135.6,95.8702064896755,24.66,6.686,3.481,37.25
S95,99,105.9,21.68,16.8,159.7,97.0569818409518,26.72,6.961,3.5,31.5
S96,98,108,18.94,11.1,121.1,93.5590421139554,25.26,6.883,3.417,32.5
S97,99,113.6,20.6,12.3,198.3,87.6449823499748,21.94,6.711,3.117,27.75
S98,88,97.4,18.34,8.8,137.7,91.8663761801017,27.39,8.11,3.098,19.25
S99,101,98.9,18.39,14.3,94.4,95.6567796610169,21.7,6.572,3.362,25.5
S100,105,87.8,20.58,8.4,121.7,92.6869350862777,28.79,8.003,3.402,22
S101,104,113,21.67,15.2,100.3,95.6131605184447,24.1,7.372,3.254,38.75
S102,104,108.4,20.46,12.7,116.5,93.6480686695279,27.13,7.414,3.379,31.5
S103,96,107.2,19.89,12.4,121.8,95.8949096880131,26.65,7.043,3.484,31.75
S104,93,107,16.33,10,112.8,95.8333333333333,26.52,7.027,3.438,29.75
S105,106,106.9,20.96,12.3,109.5,95.7077625570776,27.35,7.276,3.355,35
S106,94,103.6,17.03,15.1,104.2,70.0575815738964,26.19,6.754,3.39,24.25
S107,104,109.8,19.09,12.9,107.2,91.9776119402985,28.11,7.033,3.452,34.75
S108,98,113.5,19.56,10.3,104,97.2115384615385,26.73,7.051,3.398,29.5
S109,91,92.3,20.19,13.1,94.9,79.3466807165437,26.95,8.379,2.933,21.25
S110,95,104.9,21.18,11.7,170.5,63.108504398827,23.94,8.134,2.659,27.25
S111,100,110.5,19.53,11.1,129.5,94.6718146718147,27.98,6.964,3.411,30.25
S112,97,95.5,16.78,9.6,146,94.3835616438356,26.66,7.011,3.396,27
S113,92,96,21.14,18.3333333333333,90.9,94.2794279427943,31.18,7.759,3.732,4.75
S114,96,99.8,17,14.6,147.9,84.9222447599729,26.51,7.054,3.434,31.75
S115,107,109.1,19.42,13.6,197.4,82.3201621073961,23.53,6.759,3.275,32.75
S116,105,102.7,21.55,12.8,188.3,88.4227296866702,27.26,7.229,3.351,40.25
S117,104,103.7,20.69,12.4,173,94.5664739884393,24.85,7.246,3.141,42.25
S118,101,89.5,20.29,9.4,189.5,96.0949868073879,29.12,7.536,3.397,31.75
S119,97,86.1,17.14,13.4,111,92.6126126126126,25.66,7.077,3.203,28.75
S120,103,92.1,14.94,11.5,151.7,96.044825313118,22.98,7.389,2.911,33.25
S121,93,97.7,17.88,11.7,118.7,90.9856781802864,26.84,7.206,3.388,35
S122,102,98.9,18.55,13.2,121.1,96.9446738232866,25.91,6.81,3.365,33.75
S123,105,102.2,19.33,9.9,145.3,95.8706125258087,25.71,6.977,3.348,29.25
S124,98,95.9,16.82,13.4,173.6,95.9677419354839,28.2,6.825,3.416,34
S125,96,95.7,18.26,11.1,134.1,93.214019388516,23.48,7.19,3.014,28.75
S126,104,109.9,18.91,10.8,118.4,82.8547297297297,25.4,7.189,3.21,29.25
S127,102,103.4,18.83,16.6,112.1,87.8679750223015,26.3,7.391,3.299,34
S128,103,100.4,16.89,15.9,102.5,91.609756097561,25.9,6.597,3.304,39
S129,98,100.8,16.7,13.7,95.9,90.4066736183525,26.98,7.116,3.267,28.25
S130,106,95.7,17.8,11.7,133.1,95.1164537941397,23.54,6.802,3.121,27.25
S131,106,89.5,19.66,21.3,130.8,82.4159021406728,26.54,7.291,3.411,12.75
S132,92,74.9,13.06,12,95,89.6842105263158,31.67,6.865,3.22,17.75
S133,103,95.9,19.91,23.9,171.2,96.6121495327103,25.15,6.787,3.309,18.25
S134,108,88.6,16.94,19,173.4,95.9630911188005,27.16,7.569,3.34,5
S135,103,95.7,20.8,8.7,167.2,93.6602870813397,28.94,7.258,3.386,25.5
S136,99,98.8,21.8,9.6,117.3,95.9931798806479,29.75,7.432,3.513,30.75
S137,106,103.3,17.95,11.8,158.8,92.5692695214106,26.39,7.437,3.291,18.25
S138,103,95.8,18.68,8.9,142.7,92.5718290119131,29.95,7.357,3.464,25.5
S139,97,98.2222222222222,21.32,11.7777777777778,148.5,93.8720538720539,29.89,7.406,3.492,6.5
S140,104,94.4,19.74,10.1,164.8,89.6844660194175,25.15,7.652,3.146,26.75
S141,104,108.9,22.66,9.5,149.8,90.8544726301736,23.14,6.782,3.098,28.25
S142,107,106.7,18.58,10.6,149.2,94.4369973190349,24.98,7.141,3.099,31
S143,104,103.4,21.38,10.4,154,78.8961038961039,26.52,9.297,2.628,35.25
S144,98,90.2,22.06,17.6,144.1,96.1138098542679,31.93,7.536,3.408,18.75
S145,96,89.3,16.82,13.9,116.2,95.1807228915663,25.85,7.05,3.243,25.25
S146,103,91.5,17.48,14.2,145.2,84.7107438016529,26.89,6.908,3.362,33.25
S147,96,91.4,18.01,15.7,149.3,93.5030140656396,28.16,7.263,3.205,31.5
S148,96,88.8,17.83,16.5,81.6,96.4460784313726,27.8,6.952,3.28,31.75
S149,97,92.7,17.2,15.1,91.8,97.60348584,28.33,6.84,3.353,30.5
S150,100,94.1,19.13,15.2,90.2,97.6718403547672,28.49,7.187,3.379,34
S151,,,,,,,,,,19
S152,97,94.3,17.76,10.1,90.2,99.8891352549889,29.05,7.112,3.446,26.25
S153,97,92.5,17.91,10.3,76.9,96.6189856957087,29.58,7.253,3.481,25.75
S154,98,87.8,17.8,11.1,134.9,83.3209785025945,27.75,9.22,2.919,31
S155,99,97.8,16.88,13.7,129.8,97.5346687211094,26.17,6.898,3.284,32.5
S156,104,106.4,18.6555555555556,8.3,113.4,98.1481481481481,28.24,7.512,3.451,27
S157,103,98.4,17.65,16.8,127,96.5354330708661,27.57,8.463,2.992,28.25
S158,106,99.4,21.95,9.2,121.8,97.1264367816092,25.98,7.821,2.951,24.5
S159,107,95.9,18.51,10.3,135.7,96.0943257184967,20.97,7.384,2.805,28.5
S160,102,82.6,15.28,10.8,143.3,85.5547801814375,23.13,7.378,3.021,37.25
S161,104,98.4,19.5,13.8,142.7,93.6229852838122,25.57,7.796,2.958,27.25
S162,104,93.7,20.92,9.7,140.4,80.5555555555555,23.59,6.794,3.267,31
S163,109,109.8,21.33,11.3,123.7,85.2061438965239,24.81,8.164,3.249,23
S164,104,96,18.22,9.8,160.7,94.7106409458619,22.45,6.513,3.343,23.5
S165,104,92.4,18.76,9.3,116.5,81.4592274678112,28.37,8.862,2.97,29.5
S166,104,90.4,18.64,10.7,133.9,97.0873786407767,24.7,6.907,3.267,25.25
S167,104,91.1,18.47,10.4,90.6,89.4039735099338,22.14,6.686,3.182,26.5
S168,105,98.1,18.99,7.9,163.3,72.4433557868953,22.33,6.548,3.304,22
S169,104,99.4,17.54,12.3,186.5,66.7024128686327,24.97,6.901,3.242,25.75
S170,104,101.4,17.15,11.7,179.7,92.4874791318865,26.55,7.311,3.365,27.75
S171,107,101.3,19.98,12.6,169.3,96.8103957471943,24.18,6.922,3.358,35.5
S172,106,95.9,18.78,11.8,133.2,89.2642642642643,26.06,6.902,3.376,27.5
S173,114,100.7,19.64,13.9,163.3,98.162890385793,23.82,7.166,3.36,35
S174,110,92.5,16.6,9.5,168.2,92.1521997621879,26.97,7.327,3.407,27
S175,122,,,,,,,,,
S176,114,100.4,20.87,9.2,130.4,93.021472392638,26.66,8.293,2.898,29.25
S177,116,97.4,15.85,9.7,132.7,91.4845516201959,24.85,7.164,3.362,26.5
S178,107,90.1,17.04,13.4,146.5,95.9726962457338,25.34,6.839,3.216,28.75
S179,115,96.3,16.03,9,144.4,97.3684210526316,24.5,7.471,3.261,26.5
S180,111,96.3,17.04,6.5,112.2,96.7023172905526,25.51,7.393,3.236,17.5
S181,110,103.3,20.33,8.3,160.8,97.9477611940298,23.58,7.646,3.005,27.25
S182,111,93.1,15.58,7.9,145.1,96.4162646450724,23.21,7.333,3.143,24.25
S183,110,106.7,19.77,8.4,166.7,87.7024595080984,28.1,7.683,3.62,25.75
S184,116,84.4,15.14,9.3,165.7,93.6632468316234,23.88,7.256,3.362,29
S185,116,103.5,18.05,8.3,158.5,93.8170347003154,25.28,7.137,3.19,26.75
S186,112,85.1,16.26,9.9,133.4,96.1019490254872,25.67,7.266,3.376,28.75
S187,114,88.6,21.08,9.4,149.5,89.4983277591973,28.06,7.689,3.473,23.25
